Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
"Cost classification, Regression, CVP analysis and Budgeting",5,5,0.5,1,Teaching & Academics,Online Education,Management Accounting,Professor Francisco Vigario,English,FALSE,0,0,0,9.5,0,No,29.98,22
How to Write Comic Strips,5,5,0.5,1,Lifestyle,Other Lifestyle,Comic Book Creation,HowExpert,English,FALSE,0,0,0,1.5,0,No,40.98,40.98
"HTML, CSS and Bootstrap Practice Exams",4.9,5,0.5,6,Development,Web Development,HTML,Ahmed Magdy,English,FALSE,6,0,0,0,0,No,55.98,22
Develop your innovation - Certified Design Thinking Bootcamp,4.2,5,0.5,2422,Design,Design Thinking,Unknown,Marcin Stasko,English,FALSE,0,1,0,2.5,4,No,98.98,22
Photography is Easy (In English) by Vishal Diwan,4.7,5,0.5,406,Photography & Video,Photography,Unknown,Vishal Diwan,English,FALSE,0,0,0,5,0,No,128.98,22
US Income Taxes - Income Tax Preparation Simplified for You,4.5,5,0.5,364,Finance & Accounting,Taxes,Tax Preparation,Majo Jacinto,English,FALSE,0,0,0,2.5,28,No,40.98,22
Puppy workshop: Learn how to exercise your puppy safely.,4.8,5,0.5,4,Lifestyle,Pet Care & Training,Dog Care,Louise Harrison,English,FALSE,0,3,0,0.5,0,No,29.98,22
8-Hour Yoga Alignment Course with Lesley Fightmaster,4.5,5,0.5,254,Health & Fitness,Yoga,Unknown,Lesley Fightmaster,English,FALSE,0,0,0,8,0,No,78.98,78.98
3ds max for interior designers,0,0,0,0,Design,Interior Design,3ds Max,Aurelian Castravet,English,FALSE,0,0,0,6,12,No,104.98,22
100 Days of Code - The Complete Python Pro Bootcamp for 2021,4.7,5,0.5,39747,Development,Programming Languages,Python,Dr. Angela Yu,English,FALSE,0,229,1,60,116,No,128.98,22
SQL Server Reporting Services Part 1 (SSRS),4.5,5,0.5,1559,Development,Database Design & Development,SQL Server,Raphael Asghar,English,FALSE,0,0,0,6,1,Yes,29.98,22
Thai Massage: Foot Reflexology Certificate Course,4.9,5,0.5,6,Health & Fitness,General Health,Reflexology,Michael Eric Everson,English,FALSE,0,0,0,1.5,0,No,128.98,22
Speak the Horse Language: Master Your Horsemanship Energy,4.3,5,0.5,158,Lifestyle,Pet Care & Training,Horsemanship,Krystal Kelly,English,FALSE,0,3,0,2,0,No,128.98,22
