Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
Running A Web Design Business,4.1,5,0.5,458,Design,Web Design,Web Design Business,Rob Cubbon,English,FALSE,0,0,0,4,23,No,108.98,22
Mac Basics: Mastering your Mac for home and business,4.1,5,0.5,65,Office Productivity,Apple,Mac Basics,"Justin Pierce, CEH",English,FALSE,0,0,0,4.5,27,No,88.98,22
Be a Great Mentor: A Practical Guide to Mentorship,4.4,5,0.5,3385,Business,Management,Mentoring,JeanAnn Nichols,English,FALSE,1,0,0,1,9,Yes,138.98,23
New for 9.2! Part 1 Foundation Enterprise Architect Training,4.4,5,0.5,3370,Business,Business Strategy,TOGAF 9 Foundation,Scott Duffy  • 550.000+ Students,English,FALSE,0,2,0,2.5,3,Yes,128.98,26
MEMORY MASTERY,0,0,0,0,Personal Development,Memory & Study Skills,Memory,Shilpa Kishor Kankani,English,FALSE,0,0,0,0.683333333,0,No,29.98,22
Candlestick Patterns: Advanced Candlestick Trading Analysis,4.3,5,0.5,241,Finance & Accounting,Financial Modeling & Analysis,Candlestick Trading,Market Stalkers,English,FALSE,0,0,0,1.5,1,No,44.98,22
Wix: Make a Quick and Easy Professional Website for Free,4.4,5,0.5,144,Development,No-Code Development,Wix,Kristen Palana,English,FALSE,0,4,0,2,2,No,40.98,22
Portraits in Mixed Media Collage,5,5,0.5,1,Personal Development,Creativity,Collaging,Doris Charest,English,FALSE,0,0,0,1,1,No,44.98,22
Woodworking: Bandsaw Essentials,4.6,5,0.5,14,Lifestyle,Home Improvement,Woodworking,George Vondriska,English,FALSE,0,0,0,2,2,No,59.98,59.98
Sketchup: Interior Designing,4.6,5,0.5,6,Design,Interior Design,3D Modeling,Ajay Kumar,English,FALSE,0,0,0,7.5,20,No,29.98,22
Launch Team Lift-Off,4.7,5,0.5,5,Marketing,Other Marketing,Book Marketing,Misty Beller,English,FALSE,0,1,0,0.533333333,0,No,49.98,22
A Beginner's Guide to Google Analytics,4.5,5,0.5,538,Marketing,Marketing Analytics & Automation,Data Analysis,Robin & Jesper,English,FALSE,0,2,0,2,0,Yes,128.98,22
Dermaplaning Treatment & Facial Therapy Diploma Course,3.8,5,0.5,4,Health & Fitness,Other Health & Fitness,Facial Massage,Manik Miah,English,FALSE,0,5,0,2,4,No,128.98,22
Database Design Introduction,4.3,5,0.5,3196,Development,Database Design & Development,Database Design,Intellezy Trainers,English,FALSE,0,0,0,1.5,1,No,59.98,22
Spinning and swing long baton  for control weapons,5,5,0.5,12,Health & Fitness,Self Defense,Martial Arts,Chanuphon Yodsamai,English,FALSE,0,0,0,1.5,0,No,128.98,22
Build Persuasive Products,4.5,5,0.5,465,Design,User Experience Design,Product Management,Anders Toxboe,English,FALSE,0,0,0,2.5,0,Yes,59.98,22
Accounting Made Easy: A Quick Guide to Financial Accounting,4.6,5,0.5,1336,Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,365 Careers,English,FALSE,1,0,0,1,12,No,104.98,22
Why Massaman Curry Still BEST?,0,0,0,0,Lifestyle,Food & Beverage,Thai Cooking,kasidate Aim,English,FALSE,0,0,0,0.733333333,0,No,44.98,22
BB Glow professional or at home treatment,4.7,5,0.5,89,Lifestyle,Beauty & Makeup,Beauty,Laura Larisa Sandor,English,FALSE,0,17,0,1.5,0,No,98.98,22
Visual Merchandising and Display,3.9,5,0.5,17,Marketing,Other Marketing,Merchandising,Michelle Bennett,English,FALSE,0,8,0,0.5,0,No,55.98,22
Learn Adobe Photoshop from Scratch,4.4,5,0.5,5526,Design,Design Tools,Photoshop,Eduonix Learning Solutions,English,FALSE,0,1,0,8,32,No,29.98,22
Advanced Microsoft Excel Applications with SQL,0,0,0,0,Office Productivity,Microsoft,Excel VBA,Mor Sagmon,English,FALSE,0,0,0,1.5,4,No,94.98,22
IEC Paradigms (Level 4),4.8,5,0.5,846,IT & Software,Hardware,PLC,Paul Lynn,English,FALSE,0,8,0,16,23,No,29.98,29.98
The Complete Personal Development Course - 22 Courses in 1,4.3,5,0.5,1402,Personal Development,Personal Transformation,Personal Development,Sandor Kiss,English,FALSE,0,1,0,54,14,Yes,128.98,22
"Options Trade Secret: Triple Candy Method, 95% High Win Rate",5,5,0.5,3,Finance & Accounting,Investing & Trading,Financial Trading,Eden Koh,English,FALSE,0,0,0,1.5,6,No,128.98,22
Portfolio Management and the Capital Asset Pricing Model,4.6,5,0.5,4,Finance & Accounting,Financial Modeling & Analysis,Project Portfolio Management,Professor Francisco Vigario,English,FALSE,0,0,0,5,0,No,29.98,22
Brand Building for Small Businesses,4.2,5,0.5,23,Marketing,Branding,Business Branding,Rob Butterfield,English,FALSE,0,0,0,1,6,No,59.98,22
Develop Your Intuition in 5 Easy Steps,4.6,5,0.5,93,Personal Development,Happiness,Intuition,Michael Hetherington,English,FALSE,0,0,0,1,0,No,59.98,22
India's 1st Olympiad Exams Guidance Course - Olympiad Helper,5,5,0.5,1,Teaching & Academics,Other Teaching & Academics,Education,ESL Learning,English,FALSE,0,0,0,10,1,No,29.98,29.98
Cryptocurrency Financial Crime Compliance Bootcamp,4.4,5,0.5,126,Finance & Accounting,Compliance,Anti-Money Laundering,Financial Crime Academy,English,FALSE,0,13,0,5.5,7,No,29.98,22
Hybrid Vehicle Technology,5,5,0.5,1,Teaching & Academics,Engineering,Material Design,Nuri̇ Yönet,English,FALSE,0,1,0,1,0,No,88.98,22
Beating Depression: The Hidden Secrets Of Beating Depression,4.5,5,0.5,56,Personal Development,Motivation,Depression Relief,"Prof. Paul Cline, Ed.D",English,FALSE,0,1,0,1,0,No,128.98,22
Create a Wordpress Blogging Website: Wordpress Step-by-Step,3.1,5,0.5,3,Design,Web Design,WordPress,Brian Jackson,English,FALSE,0,2,0,2.5,1,No,29.98,22
Introduction to Mindfulness Meditation,5,5,0.5,2,Health & Fitness,Meditation,Unknown,Darren Main,English,FALSE,0,0,0,1.5,5,No,40.98,22
Bark & Kraft : Games For Dogs,0,0,0,0,Lifestyle,Pet Care & Training,Dog Training,WAG TO SCHOOL Dr. Devanshi Desai,English,FALSE,0,0,0,1,0,No,29.98,22
Organizational and Work Psychology Course,0,0,0,0,Personal Development,Career Development,Unknown,Bilal Semih Bozdemir,English,FALSE,0,0,0,5.5,0,No,29.98,22
What's new on Education Front in Indian Budget?,5,5,0.5,1,Teaching & Academics,Other Teaching & Academics,Personal Budgeting,Dr. Dheeraj Mehrotra,English,FALSE,0,0,0,0.65,0,No,29.98,22
Practice Mindfulness for Better Health and Well-being,5,5,0.5,1,Lifestyle,Other Lifestyle,Mindfulness,J.D. Rockefeller's Learning Club,English,FALSE,0,0,0,0.533333333,0,No,34.98,22
Become Psychotherapist & Open Practice - ACCREDITED CERT,4.6,5,0.5,540,Teaching & Academics,Social Science,Psychotherapy,"Elmira Strange, MPhil, Dip",English,FALSE,0,1,0,4.5,6,No,128.98,22
Mindful Meditation Made Easy,0,0,0,0,Health & Fitness,Meditation,Unknown,Dr Sunil Sable,English,FALSE,0,0,0,1,0,No,29.98,22
Diploma Certificate in Dietary Supplements Advisor,4.4,5,0.5,912,Health & Fitness,Nutrition,Unknown,Akash Sehrawat,English,FALSE,1,15,0,3,8,No,148.98,24
Writing Champion: Four Steps To Conquer Persuasive Writing!,4,5,0.5,1,Personal Development,Personal Brand Building,Essay Writing,David Merrill,English,FALSE,0,0,0,0.733333333,0,No,44.98,22
Dart and Flutter: The Complete Developer's Guide,4.5,5,0.5,4141,Development,Mobile Development,Dart (programming language),Stephen Grider,English,TRUE,0,5,0,31,0,No,138.98,22
Certified English Indian Dance Management French Yoga class,0,0,0,0,Health & Fitness,Dance,Unknown,Sarita Wariyer,English,FALSE,0,0,0,2,0,No,44.98,22
Medical Coding  CPC (Certified Professional Coder) Training,4,5,0.5,247,Teaching & Academics,Science,Medical Coding,Sunitha B,English,FALSE,0,0,0,14,2,No,78.98,22
"ABC's of weight loss how I lost 34 Kg's, start your journey!",5,5,0.5,1,Health & Fitness,General Health,Weight Loss,Milan Kruger,English,FALSE,0,4,0,0.55,4,No,59.98,22
Product Management Certification Course,3.8,5,0.5,2,Business,Industry,Product Management,Olanab Consults,English,FALSE,0,0,0,0.633333333,0,No,55.98,22
Unreal Engine 5: Full Beginner Course,4.9,5,0.5,6,Development,Game Development,Unreal Engine,Caleb Peffer,English,FALSE,0,0,0,5.5,1,No,40.98,22
The Art of Traveling Affordably!,5,5,0.5,3,Lifestyle,Travel,Travel Hacking,The Wanderlust Twins,English,FALSE,0,0,0,1,8,No,59.98,22
How to make the best desserts at home,0,0,0,0,Lifestyle,Food & Beverage,Pastry,Daniel Garcia,English,FALSE,0,0,0,0.616666667,5,No,44.98,22
OEE-Management (English),4.8,5,0.5,8,Business,Industry,Management Skills,Joern Steinbeck,English,FALSE,0,0,0,5.5,34,No,118.98,22
Learn How To Start Your Music Career As An Artist,5,5,0.5,2,Music,Other Music,Music Business,Rae Solomon,English,FALSE,0,0,0,1.5,5,No,44.98,22
Intro to Bubble - Learn how to build apps without code,3.6,5,0.5,97,Development,No-Code Development,Bubble Visual Programming,George Dimopoulos,English,FALSE,0,9,0,3,0,No,40.98,22
Cisco : DevNet Associate (DEVASC) Certification Tests 2021,0,0,0,0,Development,Web Development,Cisco Certified DevNet Associate,Nadia NaNa,English,FALSE,4,0,0,0,0,No,88.98,22
Process Safety Management Fundamentals,3.4,5,0.5,2,Health & Fitness,Safety & First Aid,Workplace Health and Safety,Damilola Adelodun Ayeni,English,FALSE,2,1,0,1.5,3,No,34.98,22
The ULTIMATE Guide to Starting Your YouTube Channel,4.5,5,0.5,45,Lifestyle,Other Lifestyle,YouTube Marketing,Kaylan Kerbler,English,FALSE,0,0,0,1.5,5,No,40.98,22
"ISO 22000 (HACCP, PRPs, oPRPs and CCPs) for Food Safety",2.5,5,0.5,1,Business,Industry,Food Safety,Olanab Consults,English,FALSE,0,0,0,1.5,0,No,78.98,22
Heal past hurts & trauma causing your anxiety and addiction.,5,5,0.5,3,Personal Development,Self Esteem & Confidence,Anxiety Management,Mary-Anne Quezel,English,FALSE,0,1,0,0.5,0,No,68.98,22
ISTQB Foundation Level 2021 Syllabus Sample Exams,4.7,5,0.5,14,Development,Software Testing,ISTQB Certified Tester Foundation Level (CTFL),Tarek Roshdy,English,FALSE,6,0,0,0,0,No,29.98,22
Henna Brow Training,4.7,5,0.5,135,Lifestyle,Beauty & Makeup,Makeup Artistry,Jennifer Walsh,English,FALSE,0,2,0,1,0,No,78.98,22
How to Vlog Like a Pro in 90 Minutes,5,5,0.5,10,Photography & Video,Digital Photography,Vlogging,Ryan Garcia,English,FALSE,0,0,0,1.5,6,No,40.98,22
Unity C# Mobile Game Development - Make 3 Games From Scratch,4.7,5,0.5,177,Development,Game Development,Mobile Game Development,Rick Davidson,English,FALSE,0,1,0,6,0,Yes,128.98,22
Learning Final Cut Pro X - Video Editing Mastery ,4.4,5,0.5,1121,Photography & Video,Video Design,Final Cut Pro,Infinite Skills,English,TRUE,0,1,0,6.5,1,No,59.98,24
Statement of Cash Flows,0,0,0,0,Finance & Accounting,Accounting & Bookkeeping,Bookkeeping,Navkar Digital Institute,English,FALSE,0,0,0,8,0,No,29.98,22
The Complete Course For Making Your Home Safer.,4.3,5,0.5,11,Lifestyle,Home Improvement,Unknown,Panos Zacharios,English,FALSE,0,0,0,1.5,0,No,68.98,22
Watercolor Painting Primroses; best techniques for success,0,0,0,0,Lifestyle,Arts & Crafts,Watercolor Painting,Carrie McKenzie,English,FALSE,0,0,0,1,2,No,29.98,22
From Cold Ideas to Hot Off The Press,0,0,0,0,Personal Development,Other Personal Development,Self-Publishing,Angela Davis,English,FALSE,0,0,0,1.5,3,No,44.98,22
"Powerful, Confident Body Language for Business Women",4.4,5,0.5,336,Personal Development,Personal Brand Building,Body Language,Kara Ronin,English,FALSE,0,1,0,1,24,No,128.98,22
Mixing R&B Rap Vocals Like Tory Lanez From Your Bedroom,0,0,0,0,Music,Music Fundamentals,Audio Engineering,Kia Orion,English,FALSE,0,0,0,0.65,0,No,128.98,22
Starting 6 Businesses in 2021,4.6,5,0.5,16,Business,Business Strategy,Freelancing,Faizan Bhatti,English,FALSE,0,0,0,2,1,No,29.98,22
Advanced Photo Restoration Techniques,4.6,5,0.5,11,Photography & Video,Photography Tools,Photoshop,Jonathon Parker,English,FALSE,0,0,0,1,1,No,128.98,22
Learn the Basics of Waste Management: Manage & Reduce Waste,4.1,5,0.5,302,Teaching & Academics,Science,Waste Management,LetsTute Make it Easy,English,FALSE,0,0,0,1,3,No,29.98,22
Effective Academic Writing: Write Papers that Get Results,4.4,5,0.5,553,Teaching & Academics,Humanities,Academic Writing,Nadine Bekkouche,English,FALSE,0,7,0,2,7,No,34.98,22
WordPress for Beginners: Master WordPress Swiftly,4.6,5,0.5,289,Development,No-Code Development,WordPress,Tanzeel Ur Rehman,English,FALSE,0,2,0,5.5,0,No,29.98,22
Ultimate Boxing Training: Professional Boxing Techniques,3.9,5,0.5,76,Health & Fitness,Sports,Boxing,Lee Mainprize,English,FALSE,0,0,0,1.5,0,No,55.98,24
Fine Art Photography. Neutral Look in Portrait,0,0,0,0,Photography & Video,Photography Tools,Image Editing,★ Pladesov,English,FALSE,0,0,0,1,1,No,40.98,40.98
"Dogs; Cat; Pet As Emotional Support; Anxiety, Depression",4.6,5,0.5,25,Lifestyle,Pet Care & Training,Pet Training,"Crystal Hutchinson Tummala, J.D.",English,FALSE,0,0,0,1.5,1,No,55.98,22
Understanding Your Customers: 1. Need Recognition,4.8,5,0.5,3,Marketing,Marketing Fundamentals,Marketing Strategy,Luke Butcher,English,FALSE,0,27,0,3,0,No,59.98,22
Think Like a Leader with Brian Tracy,4.5,5,0.5,3147,Business,Entrepreneurship,Leadership,Brian Tracy,English,FALSE,0,0,0,3,9,No,218.98,218.98
Guide to Stock Trading with Candlestick & Technical Analysis,4.6,5,0.5,2743,Finance & Accounting,Investing & Trading,Stock Trading,Luca Moschini,English,FALSE,0,8,0,4.5,2,Yes,138.98,23
How to create Thumb-stopping content right from your mobile,0,0,0,0,Marketing,Digital Marketing,Content Marketing,Pawan Sarda,English,FALSE,0,0,0,0.616666667,0,No,29.98,22
A Guided Journey to Self-Love & Self-Discovery,0,0,0,0,Personal Development,Self Esteem & Confidence,Self-Acceptance,Osha Cerese,English,FALSE,0,0,0,0.5,0,No,34.98,22
Child Care Training: Beginner to Expert,4.5,5,0.5,10,Personal Development,Parenting & Relationships,Child Psychology,Alpha Academy,English,FALSE,0,0,0,2,0,No,29.98,22
What does an actuary actually do?,4.6,5,0.5,126,Finance & Accounting,Other Finance & Accounting,Actuarial Science,"Pamela Hellig FFA, FASSA, CERA",English,FALSE,0,0,0,2.5,0,No,34.98,22
Basics of Java,0,0,0,0,Development,Programming Languages,Java,Sushama Pawar,English,FALSE,0,3,0,4,0,No,29.98,22
"Ear Training & Aural Skills, Part 2: Intervals",4.8,5,0.5,9,Music,Music Fundamentals,Ear Training,Jason Allen,English,FALSE,0,24,0,5.5,47,No,88.98,22
How To Select Banknifty Strike Price To Trade,0,0,0,0,Finance & Accounting,Investing & Trading,Options Trading,Pawan Kukreja,English,FALSE,0,0,0,1,0,No,29.98,22
Learn Football Video Editing For Youtube,4.8,5,0.5,144,Photography & Video,Video Design,Video Editing,Sarawin Mungmee,English,FALSE,0,0,0,2,7,No,44.98,22
Excel VBA Programming - The Complete Guide,4.7,5,0.5,3834,Office Productivity,Microsoft,Excel VBA,Boris Paskhaver,English,TRUE,0,4,0,18,1,No,29.98,22
Master the Shopper Experience to build your retail business.,4.5,5,0.5,778,Business,Sales,Retail Business,Kevin Moore,English,FALSE,0,0,0,3,2,No,78.98,22
Songs for Spanish and Classical Guitar,5,5,0.5,1,Music,Instruments,Classical Guitar,Edina Balczo,English,FALSE,0,7,0,2.5,87,No,40.98,22
Arts Therapy : How To Use Arts Therapy With Other People,3.8,5,0.5,797,Personal Development,Creativity,Art Therapy,Riana van Staden,English,FALSE,0,1,0,3.5,25,No,148.98,24
Lean Six Sigma Champion White Belt,4.3,5,0.5,802,Business,Operations,Lean Six Sigma White Belt,Lean Strategies International LLC,English,FALSE,0,0,0,3.5,63,No,34.98,22
Game development in android studio 4.1,0,0,0,0,Development,Mobile Development,Android Game Development,Sadiq Hussain,English,FALSE,0,0,0,8,0,No,29.98,22
The Complete Nmap Ethical Hacking Course : Network Security,4.4,5,0.5,2747,IT & Software,Network & Security,Ethical Hacking,Nathan House,English,FALSE,0,1,0,4.5,0,Yes,108.98,22
How to Prepare Your U.S. Federal Tax Returns Online,4.2,5,0.5,155,Finance & Accounting,Taxes,Tax Preparation,Joe Correa,English,FALSE,0,1,0,1,7,No,128.98,22
How To Outsource SEO With Fiverr,4.7,5,0.5,42,Marketing,Search Engine Optimization,SEO,John Shea,English,FALSE,0,12,0,3,14,No,29.98,22
LEED Green Associate V4 l 500 Questions l 5 Tests l English,5,5,0.5,2,Teaching & Academics,Test Prep,LEED,Rafael Coutinho,English,FALSE,5,0,0,0,0,No,29.98,22
"Origami, Japanese Paper crafts ‐ Challenge course 1",5,5,0.5,3,Lifestyle,Arts & Crafts,Origami,KOTOMONO JAPAN,English,FALSE,0,1,0,3,0,No,29.98,22
Google Ads Fastrack,4.8,5,0.5,25,Marketing,Advertising,Google Ads (Adwords),Oliver Olsen,English,FALSE,0,2,0,4.5,0,No,40.98,22
The  Roadmap to Feeling Full For Longer with Fewer Calories,5,5,0.5,3,Health & Fitness,Nutrition,Health,Alka Chopra,English,FALSE,0,0,0,2.5,19,No,104.98,22
Storytelling for unique personal branding in business,5,5,0.5,21,Marketing,Branding,Personal Branding,Ngan Tran,English,FALSE,0,0,0,0.733333333,1,No,128.98,22
Mock Test on COVID-19-> You need to Know,4.2,5,0.5,11,Health & Fitness,Safety & First Aid,Health,Karuna Maheshwari,English,FALSE,5,0,0,0,0,No,29.98,22
Mastering Your Authentic  Communication,0,0,0,0,Personal Development,Personal Brand Building,Communication Skills,Carolyn Baguma,English,FALSE,0,2,0,0.533333333,4,No,34.98,22
Beginners Guide To The Ricoh Theta Z1 For 360 Photos,5,5,0.5,4,Photography & Video,Photography Tools,Photography,Richard L Charpentier,English,FALSE,0,0,0,4,1,No,29.98,22
Create & Sell A Digital Product: From Beginner To Expert,4.2,5,0.5,112,Marketing,Product Marketing,Digital Product,Cindy Donovan,English,FALSE,0,2,0,2,0,No,29.98,22
Managing mental health issues in the workplace,4,5,0.5,858,Business,Human Resources,Mental Health,Skill Boosters,English,FALSE,0,0,0,0.633333333,3,No,55.98,23
Entrepreneurship: How To Start A Business From Business Idea,4.5,5,0.5,1027,Business,Entrepreneurship,Business Idea Generation,Alex Genadinik,English,TRUE,0,2,0,8.5,89,No,59.98,23
Introduction to Learning and Development (HR),4.5,5,0.5,1589,Business,Human Resources,Corporate Learning and Development (L&D),Irina Ketkin,English,FALSE,0,17,0,2,12,No,128.98,22
23 Ways To Destroy Your Defender Basketball Coaching Program,0,0,0,0,Health & Fitness,Sports,Basketball,InstantBasketball Coaching Academy,English,FALSE,0,0,0,0.533333333,0,No,29.98,22
Video Editing in Adobe Premiere - From Beginner to Pro,4.6,5,0.5,515,Photography & Video,Video Design,Video Editing,Erik Aleynikov,English,FALSE,0,1,0,3,0,No,108.98,22
No Code Raspberry Pi with Scratch 3.0,5,5,0.5,2,IT & Software,Hardware,Raspberry Pi,Venkatesh Varadachari,English,FALSE,0,0,0,4.5,11,No,128.98,22
Modern Podcasting - Provide Listeners With Awesome Podcasts,0,0,0,0,Business,Media,Podcasting,Luke. G Dahl,English,FALSE,0,0,0,1,0,No,108.98,22
Business Development Strategies and growth hacks for brands,5,5,0.5,2,Business,Entrepreneurship,Business Development,Prince Ogbonna,English,FALSE,0,0,0,1.5,13,No,29.98,22
Selenium Webdriver with Java (Basics + Advance + Architect),4.5,5,0.5,1515,Development,Software Testing,Java,Rahul Arora,English,FALSE,0,75,0,111,106,No,29.98,22
Is a Career in Dog Training Right for You?,4,5,0.5,1,Lifestyle,Pet Care & Training,Dog Training,Teryn Jones,English,FALSE,0,0,0,1,3,No,29.98,22
How to Club Dance Basics: EDM Edition,3.9,5,0.5,45,Health & Fitness,Dance,EDM,Chi Szeto,English,FALSE,0,0,0,1,0,No,59.98,22
Residential Real Estate Mastery Blueprint - Session III,4.7,5,0.5,24,Marketing,Other Marketing,Email Marketing,"John W. Tanner, J.D., M.S.",English,FALSE,0,0,0,1,8,No,34.98,22
Parenting Made Simple,4.2,5,0.5,6,Personal Development,Parenting & Relationships,Parenting,Mark Thompson,English,FALSE,0,0,0,2,12,No,29.98,22
Electrical Engineering Simulations with Etap,4.1,5,0.5,701,Teaching & Academics,Engineering,ETAP,Hossein Tootoonchy,English,FALSE,0,2,0,3.5,0,No,108.98,23
The Complete Sketch 5 Course - Design Apps & Websites 2020,4.6,5,0.5,3858,Design,Design Tools,Sketch Software,Codestars by Rob Percival,English,TRUE,0,2,0,15.5,13,No,158.98,26
"Certified English, Dance Management  Painting Drawing Yoga",0,0,0,0,Health & Fitness,Fitness,Indian Dance,Sarita Wariyer,English,FALSE,0,1,0,2,1,No,44.98,22
Life Coach Certification: Beginner to Advanced Course,4.3,5,0.5,14,Personal Development,Other Personal Development,Life Coach Training,Amer Taha- courseyo,English,FALSE,0,2,0,5,1,No,78.98,22
Mind Mapping: Unlock Your Brain Power with Mind Mapping,2.5,5,0.5,117,Lifestyle,Other Lifestyle,Mind Mapping,MD Factory - Business Coach,English,FALSE,0,0,0,0.533333333,0,No,118.98,22
Leadership: Essentials for Career Development,4.4,5,0.5,960,Personal Development,Leadership,Unknown,Andrew LeMasters,English,FALSE,0,0,0,2.5,0,No,29.98,22
RoboAuthor: Content Writing Automation 2021 - Part 10,4,5,0.5,369,Marketing,Growth Hacking,Blogging,Srinidhi Ranganathan,English,FALSE,0,2,0,1,0,No,34.98,22
How To Draw BUILDINGS For Kids,5,5,0.5,2,Lifestyle,Arts & Crafts,Figure Drawing,Ed Foychuk,English,FALSE,0,0,0,2.5,3,No,29.98,22
Documentary Filmmaking Secrets,3.9,5,0.5,4,Photography & Video,Other Photography & Video,Documentary Filmmaking,Shawn Vela,English,FALSE,0,0,0,1.5,1,No,104.98,22
"SEO 2020 - Safe, Effective Search Engine Optimization",4.6,5,0.5,595,Marketing,Search Engine Optimization,SEO,Andrew Williams,English,TRUE,0,3,0,7,1,No,148.98,24
Aviation Operations on the Ground - Health and Safety,4.7,5,0.5,52,Health & Fitness,Safety & First Aid,Aviation,Aaron Micallef Piccione,English,FALSE,0,0,0,0.666666667,0,No,29.98,22
GDPR Compliance: The Key Components of the GDPR,0,0,0,0,Business,Business Law,GDPR,Rita Mutyaba,English,FALSE,1,0,0,3.5,0,No,128.98,22
Book Promotion and Marketing for Self-Published Authors,5,5,0.5,1,Marketing,Product Marketing,Book Marketing,Brigitte Brulz,English,FALSE,0,0,0,4,42,No,40.98,22
Photoshop Basics: For Beginners,3.8,5,0.5,243,Business,Other Business,Mobile App Design,Mandi's Photoshop Work,English,FALSE,0,2,0,1.5,15,No,29.98,22
Vocal Warmups for Great Technique,4.9,5,0.5,444,Music,Vocal,Singing,Robert Lischetti,English,FALSE,0,0,0,1.5,1,No,128.98,22
The Secrets Behind Winning at The Lottery Game,3.8,5,0.5,4,Personal Development,Motivation,Lotto,Arvin Hopcraft,English,FALSE,0,0,0,4,9,No,98.98,22
Speaking Skills for life,3.6,5,0.5,217,Personal Development,Personal Brand Building,Public Speaking,Mike Pagan,English,FALSE,0,0,0,1,10,No,59.98,22
"Complete meditation, mindfulness and mind training course",4.7,5,0.5,617,Health & Fitness,Meditation,Unknown,Michaël Bijker,English,FALSE,0,6,0,9.5,8,No,168.98,27
Healthy Weight Loss - No dieting. No starvation.,0,0,0,0,Health & Fitness,Nutrition,Weight Loss,Olga Davidian,English,FALSE,0,0,0,1,5,No,29.98,22
Blogging Bootcamp - How to Start a Successful Blog!,4,5,0.5,24,Personal Development,Personal Brand Building,Blogging,Johnny FD Jen,English,FALSE,0,0,0,4,0,No,88.98,22
Think Strategically and Make Your Ideas a Reality,4.5,5,0.5,6892,Business,Business Strategy,Strategic Thinking,Antonio Nieto-Rodriguez,English,FALSE,0,0,0,1.5,17,No,29.98,29.98
Vastu-For Land Identification,4.5,5,0.5,1,Lifestyle,Home Improvement,Vastu Shastra,Sebastain Joseph,English,FALSE,0,0,0,1,0,No,29.98,22
Irish Dance for Beginners: An Introduction,4.3,5,0.5,79,Health & Fitness,Dance,Unknown,Martin Percival,English,FALSE,0,0,0,1,2,No,49.98,22
Wordpress Beginners Course,5,5,0.5,2,Design,Web Design,WordPress,iVito .,English,FALSE,0,0,0,2.5,0,No,29.98,22
The Complete Content Writing Course for 2021 -3 courses in 1,4.1,5,0.5,440,Marketing,Content Marketing,Content Writing,Shubhi Saxena,English,FALSE,0,7,0,3.5,11,No,128.98,22
Complete Guide to AV & Event Technology,4.4,5,0.5,14,Marketing,Marketing Fundamentals,Event Planning,Mattias Cook,English,FALSE,0,1,0,3,9,No,88.98,22
Pytest Essentials: Unit Testing,4.5,5,0.5,11,IT & Software,Other IT & Software,pytest,Fanuel Mapuwei,English,FALSE,0,1,0,1.5,0,No,29.98,22
Word 2019 Intermediate,5,5,0.5,2,Office Productivity,Microsoft,Microsoft Word,Intellezy Trainers,English,FALSE,0,0,0,6,1,No,49.98,22
Learn to Trade With Fibonacci Tools,4.1,5,0.5,381,Finance & Accounting,Investing & Trading,Fibonacci Trading,TradeSmart University,English,FALSE,0,0,0,4,0,No,40.98,22
"Acing Online Interviews on Zoom, Skype, and Video Calls",4.9,5,0.5,4,Business,Human Resources,Interviewing Skills,Mary Daphne,English,FALSE,0,0,0,0.666666667,0,No,128.98,22
Past Life Regression Therapy | Practitioner Training,4.7,5,0.5,1012,Lifestyle,Esoteric Practices,Hypnotherapy,Mark Beale,English,FALSE,0,6,0,7.5,10,No,108.98,22
1 week to a calmer you,5,5,0.5,2,Health & Fitness,Yoga,Stress Management,Katrina Zawawi,English,FALSE,0,4,0,3,2,No,29.98,22
IBPS PO/Clerk-LOGICAL REASONING unit-wise practice tests,0,0,0,0,Teaching & Academics,Test Prep,Logic,Karthiga Jothi,English,FALSE,6,0,0,0,0,No,88.98,22
Cisco Security Architecture for System Engineers Exams 2021,2.3,5,0.5,3,IT & Software,Network & Security,Cisco,Nadia NaNa,English,FALSE,5,0,0,0,0,No,88.98,22
Sing Better & Easier: Ultimate Vocal Exercises for Beginners,4.8,5,0.5,22,Music,Vocal,Singing,David Daddario,English,FALSE,0,0,0,0.566666667,14,No,128.98,22
Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,4.4,5,0.5,3226,Personal Development,Influence,Personal Networking,Alexa Fischer,English,FALSE,0,1,0,1.5,3,No,55.98,23
Independent Disciplinary Chair (IDC),0,0,0,0,Business,Human Resources,Employee Performance Management,Etienne Pretorius,English,FALSE,0,1,0,1,11,No,40.98,22
Learn how to draw animals. For kids.,0,0,0,0,Lifestyle,Arts & Crafts,Drawing,Georgiana R.,English,FALSE,0,0,0,1.5,0,No,34.98,22
Modular 3D Building Mastery in Blender & Unreal Engine,4.7,5,0.5,47,Design,Game Design,Blender,Thomas McDonald,English,FALSE,0,1,0,5.5,0,No,128.98,22
PMP Exam Prep Project Management Professional Certification,4.5,5,0.5,10525,Business,Project Management,PMP,"Umer Waqar, PMP",English,TRUE,2,18,0,20,3,No,128.98,22
